X,Y,streetcrime,offense_code_group,domestic,type,offense_description,district,nonviolent,source,updated,timestamp,ucr_part,reporting_area,month,occurred_on_date,year,street,offense_code,incident_number,day_of_week,desc,shooting
-71.08851632,42.31202047,0,Investigate Person,0,03115,INVESTIGATE PERSON,B2,1,Boston,1474149601080,1474062240000,Part Three,317,9,2016/09/16 21:44:00,2016,RUTHVEN ST,03115,I162075828,Friday,INVESTIGATE PERSON,
-71.08909334,42.31127726,0,Verbal Disputes,0,03301,VERBAL DISPUTE,B2,1,Boston,1473544801411,1473431340000,Part Three,317,9,2016/09/09 14:29:00,2016,HOMESTEAD ST,03301,I162073494,Friday,VERBAL DISPUTE,
-71.08909334,42.31127726,0,Other,0,02647,THREATS TO DO BODILY HARM,B2,0,Boston,1474840800684,1474743120000,Part Two,318,9,2016/09/24 18:52:00,2016,HOMESTEAD ST,02647,I162078310,Saturday,THREATS TO DO BODILY HARM,
-71.08909334,42.31127726,0,Medical Assistance,0,03006,SICK/INJURED/MEDICAL - PERSON,B2,1,Boston,1476741601099,1476633300000,Part Three,318,10,2016/10/16 15:55:00,2016,HOMESTEAD ST,03006,I162084829,Sunday,SICK/INJURED/MEDICAL - PERSON,
-71.08909334,42.31127726,0,Medical Assistance,0,03006,SICK/INJURED/MEDICAL - PERSON,B2,1,Boston,1478469600945,1478334900000,Part Three,318,11,2016/11/05 08:35:00,2016,HOMESTEAD ST,03006,I162090635,Saturday,SICK/INJURED/MEDICAL - PERSON,
-71.08909334,42.31127726,0,Other,0,02647,THREATS TO DO BODILY HARM,B2,0,Boston,1480716000766,1480608000000,Part Two,318,12,2016/12/01 16:00:00,2016,HOMESTEAD ST,02647,I162098084,Thursday,THREATS TO DO BODILY HARM,
-71.08757081,42.3125497,0,Verbal Disputes,0,03301,VERBAL DISPUTE,B2,1,Boston,1473804001801,1473703740000,Part Three,315,9,2016/09/12 18:09:00,2016,CRAWFORD ST,03301,I162074492,Monday,VERBAL DISPUTE,
-71.08757081,42.3125497,1,Vandalism,0,01402,VANDALISM,B2,1,Boston,1480716000765,1480584120000,Part Two,326,12,2016/12/01 09:22:00,2016,CRAWFORD ST,01402,I162097893,Thursday,VANDALISM,
-71.08974712,42.31283412,1,Robbery,0,00311,ROBBERY - COMMERCIAL,B2,0,Boston,1472149504940,1471764840000,Part One,317,8,2016/08/21 07:34:00,2016,HUMBOLDT AVE,00311,I162068636,Sunday,ROBBERY - COMMERCIAL,
-71.08974712,42.31283412,0,Medical Assistance,0,03007,SUDDEN DEATH,B2,1,Boston,1473804001801,1473675660000,Part Three,317,9,2016/09/12 10:21:00,2016,HUMBOLDT AVE,03007,I162074332,Monday,SUDDEN DEATH,
-71.08974712,42.31283412,1,Commercial Burglary,0,00541,BURGLARY - COMMERICAL - ATTEMPT,B2,1,Boston,1473890400595,1473759720000,Part One,316,9,2016/09/13 09:42:00,2016,HUMBOLDT AVE,00541,I162074637,Tuesday,BURGLARY - COMMERICAL - ATTEMPT,
-71.08974712,42.31283412,1,Aggravated Assault,0,00413,ASSAULT - AGGRAVATED - BATTERY,B2,0,Boston,1474668001482,1474561440000,Part One,317,9,2016/09/22 16:24:00,2016,HUMBOLDT AVE,00413,I162077614,Thursday,ASSAULT - AGGRAVATED - BATTERY,
-71.08974712,42.31283412,1,Drug Violation,0,01845,DRUGS - POSS CLASS D,B2,1,Boston,1475013600910,1474848000000,Part Two,316,9,2016/09/26 00:00:00,2016,HUMBOLDT AVE,01845,I162078925,Monday,DRUGS - POSS CLASS D,
-71.08974712,42.31283412,1,Simple Assault,0,00802,ASSAULT SIMPLE - BATTERY,B2,1,Boston,1477519214356,1477413660000,Part Two,316,10,2016/10/25 16:41:00,2016,HUMBOLDT AVE,00802,I162087534,Tuesday,ASSAULT SIMPLE - BATTERY,
-71.08991596,42.31262432,0,Motor Vehicle Accident Response,0,03801,M/V ACCIDENT - OTHER,B2,1,Boston,1478037601724,1477904520000,Part Three,317,10,2016/10/31 09:02:00,2016,HUMBOLDT AVE,03801,I162089054,Monday,M/V ACCIDENT - OTHER,
-71.08991596,42.31262432,0,Motor Vehicle Accident Response,0,03803,M/V ACCIDENT - PERSONAL INJURY,B2,1,Boston,1478383200910,1478243460000,Part Three,317,11,2016/11/04 07:11:00,2016,HUMBOLDT AVE,03803,I162090312,Friday,M/V ACCIDENT - PERSONAL INJURY,
-71.08939926,42.31326606,0,Verbal Disputes,0,03301,VERBAL DISPUTE,B2,1,Boston,1480975201620,1480868100000,Part Three,315,12,2016/12/04 16:15:00,2016,CRAWFORD ST,03301,I162098908,Sunday,VERBAL DISPUTE,
-71.0891036,42.31363297,0,Other,0,02647,THREATS TO DO BODILY HARM,B2,0,Boston,1480456801474,1480338480000,Part Two,314,11,2016/11/28 13:08:00,2016,HUMBOLDT AVE,02647,I162097113,Monday,THREATS TO DO BODILY HARM,
-71.08931055,42.31026891,0,Harassment,0,02629,HARASSMENT,B2,0,Boston,1472767201400,1472665620000,Part Two,318,8,2016/08/31 17:47:00,2016,HUTCHINGS ST,02629,I162070930,Wednesday,HARASSMENT,
-71.08931055,42.31026891,0,Investigate Person,0,03115,INVESTIGATE PERSON,B2,1,Boston,1479852000793,1479754860000,Part Three,318,11,2016/11/21 19:01:00,2016,HUTCHINGS ST,03115,I162095424,Monday,INVESTIGATE PERSON,
-71.08677174,42.31115413,0,Verbal Disputes,0,03301,VERBAL DISPUTE,B2,1,Boston,1474322401309,1474232640000,Part Three,317,9,2016/09/18 21:04:00,2016,RUTHVEN ST,03301,I162076421,Sunday,VERBAL DISPUTE,
-71.08677174,42.31115413,0,Fire Related Reports,0,03160,"FIRE REPORT - CAR, BRUSH, ETC.",B2,1,Boston,1474840800678,1474686480000,Part Three,317,9,2016/09/24 03:08:00,2016,RUTHVEN ST,03160,I162078119,Saturday,"FIRE REPORT - CAR, BRUSH, ETC.",
-71.08677174,42.31115413,0,Confidence Games,0,01106,FRAUD - CREDIT CARD / ATM FRAUD,B2,1,Boston,1475013600919,1474916760000,Part Two,317,9,2016/09/26 19:06:00,2016,RUTHVEN ST,01106,I162078908,Monday,FRAUD - CREDIT CARD / ATM FRAUD,
-71.08677174,42.31115413,1,Aggravated Assault,0,00413,ASSAULT - AGGRAVATED - BATTERY,B2,0,Boston,1478469600945,1478355379000,Part One,317,11,2016/11/05 14:16:19,2016,RUTHVEN ST,00413,I162090730,Saturday,ASSAULT - AGGRAVATED - BATTERY,
-71.08880794,42.31399987,0,Motor Vehicle Accident Response,0,03801,M/V ACCIDENT - OTHER,B2,1,Boston,1472421600854,1472299080000,Part Three,315,8,2016/08/27 11:58:00,2016,HOWLAND ST,03801,I162069580,Saturday,M/V ACCIDENT - OTHER,
-71.08880794,42.31399987,0,Motor Vehicle Accident Response,0,03803,M/V ACCIDENT - PERSONAL INJURY,B2,1,Boston,1479852000789,1479713820000,Part Three,315,11,2016/11/21 07:37:00,2016,HOWLAND ST,03803,I162095195,Monday,M/V ACCIDENT - PERSONAL INJURY,
-71.08671835,42.31052866,1,Simple Assault,0,00802,ASSAULT SIMPLE - BATTERY,B2,1,Boston,1477778401511,1477649640000,Part Two,320,10,2016/10/28 10:14:00,2016,ELM HILL AVE,00802,I162088252,Friday,ASSAULT SIMPLE - BATTERY,
