SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE,ZIP,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,URL,SOURCE,MLS#,LATITUDE,LONGITUDE
June-30-2017,Single Family Residential,554 Auburn St,Newton,MA,2466,1321250,5,4,Auburndale,4205,6850,2013,244,314,,Sold,http://www.redfin.com/MA/Auburndale/554-Auburn-St-02466/home/11435677,MLS PIN,72141365,42.3443756,-71.2561688
January-25-2018,Single Family Residential,380 Gray St,Arlington,MA,2476,1134000,4,3,Arlington,2848,6198,2005,35,398,,Sold,http://www.redfin.com/MA/Arlington/380-Gray-St-02476/home/8468095,MLS PIN,72247389,42.419698,-71.1779229
,Single Family Residential,126 Wildwood St,Winchester,MA,1890,1137000,4,4,,3860,10321,1930,,295,,,http://www.redfin.com/MA/Winchester/126-Wildwood-St-01890/home/11461431,,,42.4503497,-71.1612599
November-3-2017,Single Family Residential,5 WRIGHT St,Lexington,MA,2420,1475000,4,4.5,Lexington,6000,37405,1996,118,246,,Sold,http://www.redfin.com/MA/Lexington/5-Wright-St-02420/home/8585975,MLS PIN,72187610,42.4820428,-71.2465629
July-24-2017,Single Family Residential,100 Drumlin Rd,Newton,MA,2459,1825000,5,5.5,Thompsonville,4972,10887,2012,220,367,,Sold,http://www.redfin.com/MA/Newton/100-Drumlin-Rd-02459/home/11485720,MLS PIN,72141093,42.304672,-71.1818623
January-18-2018,Single Family Residential,100 Ardmore Rd,Needham,MA,2494,1450000,6,5,Needham,4997,17860,2004,42,290,,Sold,http://www.redfin.com/MA/Needham-Heights/100-Ardmore-Rd-02494/home/8928137,MLS PIN,72247524,42.3056418,-71.2431091
August-14-2017,Single Family Residential,166 Summer St,Somerville,MA,2143,1200000,3,2.5,Somerville,2152,3250,1900,199,558,,Sold,http://www.redfin.com/MA/Somerville/166-Summer-St-02143/home/8712218,MLS PIN,72169530,42.3863005,-71.106513
June-22-2017,Single Family Residential,55 Bay State Rd,Arlington,MA,2474,1080000,4,3,Kelwyn Manor,2553,6114,1941,252,423,6,Sold,http://www.redfin.com/MA/Arlington/55-Bay-State-Rd-02474/home/11535988,MLS PIN,72147420,42.4051341,-71.1548545
August-21-2017,Single Family Residential,9 WILDWOOD St,Winchester,MA,1890,1410000,4,2.5,Winchester,3581,10675,1875,192,394,,Sold,http://www.redfin.com/MA/Winchester/9-Wildwood-St-01890/home/11456302,MLS PIN,72200252,42.4514008,-71.1445499
June-26-2017,Single Family Residential,12 DUDLEY Rd,Lexington,MA,2421,1285000,5,3.5,Lexington,3196,15936,1969,248,402,,Sold,http://www.redfin.com/MA/Lexington/12-Dudley-Rd-02421/home/8543870,MLS PIN,72138349,42.4218682,-71.2173031
