id	name	year	rating	runtime	genre	earnings_rank
499549	Avatar	2009	PG13	162	A,V,Y,S	1
120338	Titanic	1997	PG13	194	D,R	2
848228	The Avengers	2012	PG13	143	A	3
468569	The Dark Knight	2008	PG13	152	A,T	4
76759	Star Wars	1977	PG	121	A,V,Y,S	5
1345836	The Dark Knight Rises	2012	PG13	165	A	6
298148	Shrek 2	2004	PG	92	V,N,C,F,Y	7
83866	E.T. the Extra-Terrestrial	1982	PG	115	V,F,Y,S	8
120915	Star Wars: Episode I - The Phantom Menace	1999	PG	133	A,V,S	9
383574	Pirates of the Caribbean: Dead Man's Chest	2006	PG13	150	A,V,C,Y	10
435761	Toy Story 3	2010	G	103	V,N,C,F,Y	11
1392170	The Hunger Games	2012	PG13	142	A	12
145487	Spider-Man	2002	PG13	121	A,Y,S,T	13
1055369	Transformers: Revenge of the Fallen	2009	PG13	150	A,V,S	14
1201607	Harry Potter and the Deathly Hallows: Part 2	2011	PG13	130	V,D,Y,M	15
121766	Star Wars: Episode III - Revenge of the Sith	2005	PG13	140	A,V,Y,S	16
167260	Lord of the Rings: The Return of the King, The	2003	PG13	201	A,V,Y	17
316654	Spider-Man 2	2004	PG13	127	A,Y,S,T	18
335345	Passion of the Christ, The	2004	R	127	D	19
107290	Jurassic Park	1993	PG13	127	A,V,H,S	20
1399103	Transformers: Dark of the Moon	2011	PG13	157	A,V,S	21
167261	Lord of the Rings: The Two Towers, The	2002	PG13	179	A,V,Y	22
266543	Finding Nemo	2003	G	100	V,N,C,F	23
413300	Spider-Man 3	2007	PG13	140	A,V,S,T	24
1014759	Alice in Wonderland	2010	PG	108	V,F,Y	25
109830	Forrest Gump	1994	PG13	142	C,D	26
110357	Lion King, The	1994	G	89	V,N,C,F,L	27
413267	Shrek the Third	2007	PG	92	N,V,C,F,Y	28
418279	Transformers	2007	PG13	144	A,V,C,S,T	29
371746	Iron Man	2008	PG13	126	A,V,D,S,T	30
241527	Harry Potter and the Sorcerer's Stone	2001	PG	152	V,F,Y	31
367882	Indiana Jones and the Kingdom of the Crystal Skull	2008	PG13	122	A,V	32
120737	Lord of the Rings: The Fellowship of the Ring, The	2001	PG13	178	A,V,Y	33
1228705	Iron Man 2	2010	PG13	124	A,V,S	34
