GEOID,AREAMSQ,Population,MEDYRBUILT,POPPERKMSQ,CAT
86000US43451,63411475,1001,1965,15.78578641,EXURBAN
86000US43452,121783680,13659,1974,112.1578852,SUBURBANEARLY
86000US43456,9389360,536,1970,57.08589297,EXURBAN
86000US43457,48035540,1343,1952,27.95846575,EXURBAN
86000US43458,2573816,312,1960,121.2207866,SUBURBANEARLY
86000US43460,7158543,6334,1959,884.8169243,SUBURBANEARLY
86000US43462,66526720,1075,1975,16.15892081,EXURBAN
86000US43463,19415,16,,824.1050734,EXURBAN
86000US43464,86139720,1464,1960,16.99564382,EXURBAN
86000US43465,28559486,5267,1974,184.4220866,SUBURBANEARLY
86000US43466,71873183,2381,1965,33.12779399,EXURBAN
86000US43467,898187,104,1939,115.7888057,EXURBAN
86000US43468,1861424,403,1957,216.5009154,SUBURBANEARLY
86000US97824,566187380,1891,1978,3.339883697,EXURBAN
86000US97825,642625957,269,1957,0.418594981,EXURBAN
86000US97826,822819723,1016,1965,1.234778374,EXURBAN
86000US97827,533407312,2380,1974,4.461881092,EXURBAN
86000US97828,1906834982,2978,1972,1.561750245,EXURBAN
86000US97830,1552763903,686,1952,0.441792856,EXURBAN
86000US97833,228152961,950,1963,4.163873201,EXURBAN
86000US97834,540657672,942,1972,1.742322451,EXURBAN
86000US97835,487031155,444,1959,0.911645991,EXURBAN
86000US97836,2400801136,2030,1971,0.845551083,EXURBAN
86000US97837,311217121,94,1954,0.302039938,EXURBAN
86000US97838,426246450,25598,1980,60.0544591,EXURBAN
86000US97839,518045547,484,1939,0.934280784,EXURBAN
86000US97840,295762578,173,1972,0.584928632,EXURBAN
86000US97841,49834325,402,1972,8.066729107,EXURBAN
86000US97842,1797030397,176,1986,0.097939356,EXURBAN
86000US97843,914875262,675,1955,0.7378055,EXURBAN
86000US97844,107475722,3860,1990,35.91508787,EXURBAN
86000US97845,168393413,2606,1969,15.47566472,EXURBAN
86000US97846,1946998882,1866,1975,0.958398085,EXURBAN
86000US97848,490328219,233,1978,0.475191904,EXURBAN
86000US97850,749315139,17095,1971,22.81416604,EXURBAN
86000US97856,1117439013,406,1963,0.363330791,EXURBAN
86000US97857,697926754,576,1972,0.825301504,EXURBAN
86000US97859,207557362,74,1956,0.356527946,EXURBAN
86000US97862,711813215,12033,1969,16.90471566,EXURBAN
86000US97864,844549370,253,1965,0.299568041,EXURBAN
86000US97865,989177168,1224,1973,1.237392087,EXURBAN
